defect_id,product_id,defect_date,defect_type,severity,defect_location,inspection_method,repair_cost
D00001,P002,2024-06-09,Cosmetic,Moderate,Surface,Manual Testing,210.66206005599523
D00002,P002,2024-09-28,Structural,Minor,Component,Manual Testing,29.969834619348482
D00003,P002,2024-02-07,Functional,Minor,Internal,Visual Inspection,55.70296776508945
D00004,P003,2024-08-13,Functional,Moderate,Internal,Visual Inspection,236.6351447170294
D00005,P002,2024-05-21,Cosmetic,Moderate,Surface,Visual Inspection,233.58742687586238
D00006,P001,2024-10-18,Cosmetic,Minor,Surface,Automated Testing,66.21171088331933
D00007,P001,2024-05-30,Cosmetic,Critical,Component,Automated Testing,1000.1413170917369
D00008,P002,2024-04-23,Structural,Moderate,Component,Automated Testing,227.5508047537062
D00009,P001,2024-08-24,Functional,Critical,Internal,Visual Inspection,783.1602292499247
D00010,P001,2024-03-06,Functional,Moderate,Surface,Manual Testing,100.34234398904051
D00011,P003,2024-12-26,Cosmetic,Moderate,Surface,Visual Inspection,225.77709314795516
D00012,P002,2024-12-06,Structural,Minor,Surface,Automated Testing,53.115315307446664
D00013,P002,2024-09-14,Structural,Critical,Component,Automated Testing,865.1789209268896
D00014,P003,2024-09-05,Cosmetic,Moderate,Surface,Visual Inspection,123.39508545078144
D00015,P001,2024-11-26,Cosmetic,Minor,Internal,Visual Inspection,33.784151893876064
D00016,P001,2024-11-18,Cosmetic,Minor,Internal,Automated Testing,65.79729279999356
D00017,P002,2024-06-28,Cosmetic,Minor,Component,Automated Testing,49.406672692150174
D00018,P001,2024-07-08,Functional,Moderate,Component,Automated Testing,240.89004184235745
D00019,P003,2024-06-02,Cosmetic,Critical,Surface,Visual Inspection,806.7964102713107
D00020,P003,2024-07-14,Cosmetic,Minor,Component,Automated Testing,50.446342092436176
D00021,P002,2024-11-06,Functional,Minor,Internal,Automated Testing,64.07425708963997
D00022,P003,2024-09-18,Cosmetic,Minor,Surface,Manual Testing,42.25932907673939
D00023,P003,2024-05-22,Cosmetic,Critical,Internal,Visual Inspection,823.068986465836
D00024,P002,2024-12-07,Cosmetic,Moderate,Surface,Manual Testing,172.26348267769745
D00025,P003,2024-11-11,Cosmetic,Moderate,Component,Manual Testing,173.93022635406106
D00026,P003,2024-04-10,Functional,Minor,Surface,Automated Testing,45.36241814797041
D00027,P003,2024-08-31,Cosmetic,Minor,Surface,Visual Inspection,53.33200657450569
D00028,P001,2024-01-12,Functional,Minor,Internal,Automated Testing,42.818770675047844
D00029,P002,2024-08-26,Functional,Minor,Internal,Visual Inspection,68.83634188360281
D00030,P002,2024-02-18,Cosmetic,Moderate,Surface,Manual Testing,146.32356186682978
D00031,P002,2024-02-11,Functional,Moderate,Component,Visual Inspection,188.78770135031846
D00032,P001,2024-06-14,Cosmetic,Critical,Component,Automated Testing,694.464546014198
D00033,P001,2024-03-22,Cosmetic,Critical,Internal,Automated Testing,1147.274692244896
D00034,P002,2024-10-17,Structural,Minor,Component,Automated Testing,52.94832164767362
D00035,P001,2024-06-06,Structural,Moderate,Internal,Visual Inspection,261.91067236811807
D00036,P002,2024-08-03,Structural,Critical,Component,Manual Testing,443.4655104711267
D00037,P001,2024-06-06,Cosmetic,Moderate,Surface,Manual Testing,216.02301595215553
D00038,P003,2024-05-13,Cosmetic,Minor,Internal,Visual Inspection,63.34446193435156
D00039,P003,2024-03-07,Functional,Minor,Internal,Automated Testing,51.23425983913136
D00040,P002,2024-12-01,Cosmetic,Minor,Surface,Manual Testing,65.98220562598027
D00041,P001,2024-01-07,Cosmetic,Critical,Internal,Automated Testing,675.8507719759107
D00042,P001,2024-01-14,Cosmetic,Moderate,Component,Visual Inspection,284.5608464111348
D00043,P003,2024-03-13,Cosmetic,Minor,Component,Automated Testing,84.48347185428875
D00044,P003,2024-06-11,Structural,Moderate,Internal,Manual Testing,178.22968637362047
D00045,P001,2024-03-06,Cosmetic,Moderate,Component,Manual Testing,173.26984871595369
D00046,P001,2024-12-12,Functional,Minor,Internal,Automated Testing,71.80076715676552
D00047,P001,2024-05-09,Cosmetic,Minor,Surface,Visual Inspection,73.69358218596068
D00048,P001,2024-07-24,Functional,Moderate,Internal,Automated Testing,168.6283983708039
D00049,P001,2024-10-02,Functional,Minor,Surface,Visual Inspection,43.69719774356214
D00050,P001,2024-09-12,Cosmetic,Moderate,Component,Automated Testing,183.09292346836958
D00051,P002,2024-09-22,Structural,Minor,Surface,Manual Testing,29.833242334485846
D00052,P001,2024-01-25,Functional,Moderate,Component,Visual Inspection,144.8808832109481
D00053,P003,2024-10-07,Structural,Minor,Internal,Visual Inspection,34.93788849871898
D00054,P002,2024-09-09,Structural,Minor,Component,Visual Inspection,38.483036523438074
D00055,P001,2024-11-05,Functional,Moderate,Internal,Manual Testing,197.91890675679312
D00056,P003,2024-10-15,Structural,Minor,Internal,Automated Testing,53.51322098804781
D00057,P002,2024-06-12,Cosmetic,Minor,Surface,Manual Testing,73.25750739221115
D00058,P003,2024-04-04,Cosmetic,Minor,Surface,Visual Inspection,35.024689388918134
D00059,P001,2024-09-26,Cosmetic,Moderate,Surface,Automated Testing,259.059343908595
D00060,P001,2024-11-16,Cosmetic,Moderate,Surface,Manual Testing,187.16066934646946
D00061,P001,2024-04-19,Cosmetic,Moderate,Component,Visual Inspection,197.03217742085403
D00062,P001,2024-12-01,Cosmetic,Minor,Component,Visual Inspection,60.122292382499054
D00063,P002,2024-11-05,Structural,Minor,Component,Manual Testing,33.159169676565526
D00064,P002,2024-08-25,Cosmetic,Minor,Internal,Manual Testing,55.736146192760756
D00065,P003,2024-01-25,Cosmetic,Minor,Component,Manual Testing,52.49678312319584
D00066,P001,2024-05-20,Functional,Minor,Component,Visual Inspection,57.38676896012224
D00067,P003,2024-04-26,Cosmetic,Minor,Component,Manual Testing,54.33752965861727
